Category,sub-category,Type,Fit,Material,Pattern,Season,Style,Occasion,Body Type Suitability,Neckline,Apparel
0,15,28,33,7,38,2,7,5,11,8,3
0,15,134,33,7,38,2,7,5,11,47,3
0,15,53,39,7,38,2,7,3,11,14,3
0,15,93,33,7,38,2,30,3,11,29,3
0,15,96,33,7,38,2,7,5,11,8,3
0,15,102,33,7,38,2,7,5,11,34,3
0,10,41,39,7,38,2,18,2,1,26,3
0,10,21,33,7,6,2,7,3,11,38,3
0,10,93,33,7,38,2,7,24,1,28,3
0,10,52,39,7,38,2,7,5,11,14,3
0,10,83,39,7,38,2,7,31,1,4,3
0,10,43,33,12,28,0,7,18,1,26,3
0,10,22,39,3,38,2,7,3,1,38,3
0,10,50,34,36,13,2,7,1,11,38,3
0,10,69,33,19,38,2,7,26,11,26,3
0,6,112,39,10,38,2,7,5,11,46,1
0,6,114,39,10,38,2,7,5,11,46,1
0,6,125,33,10,38,2,7,5,11,46,1
0,6,14,33,10,38,2,7,3,11,46,1
0,6,97,34,10,38,2,7,3,11,46,1
0,6,60,39,8,38,2,7,12,1,46,1
0,6,24,39,7,38,2,7,3,11,46,1
0,6,19,33,7,38,2,7,18,11,46,1
0,6,63,33,7,38,2,7,3,11,46,1
0,11,20,33,7,38,2,7,5,11,46,1
0,11,23,39,7,38,2,7,3,11,46,1
0,11,37,33,10,38,1,7,3,1,46,1
0,11,11,26,33,13,2,7,1,1,46,1
0,11,8,26,7,38,2,7,3,1,46,1
0,11,4,14,32,38,2,31,24,1,46,1
0,11,70,34,19,38,2,7,3,1,46,1
0,11,127,34,8,38,1,7,3,1,46,1
0,11,62,33,7,38,1,7,3,11,46,1
0,11,99,14,27,38,2,31,21,1,46,1
0,11,0,33,7,38,2,7,3,11,46,1
0,3,64,33,7,38,2,34,8,11,32,3
0,3,106,14,38,12,3,18,30,6,41,0
0,3,87,34,7,38,2,34,8,1,6,0
0,3,78,14,38,38,2,13,8,11,20,2
0,3,58,43,38,12,2,20,30,6,47,3
0,14,110,39,50,38,2,18,2,11,22,0
0,14,39,39,50,38,0,18,23,2,25,0
0,14,133,39,50,38,3,18,23,11,36,0
0,14,38,39,47,38,3,18,23,11,36,2
0,14,9,39,7,38,1,7,3,11,22,2
0,4,13,33,18,38,0,7,5,11,32,2
0,4,36,33,10,38,2,7,5,11,27,2
0,4,65,39,18,38,0,9,3,1,23,2
0,4,86,34,27,38,3,7,3,11,18,2
0,4,88,33,50,38,3,9,9,1,23,2
0,4,131,39,7,38,0,9,9,1,23,2
0,4,80,34,50,38,3,9,9,1,23,2
0,4,95,33,27,34,0,7,17,1,16,2
0,4,49,39,7,38,0,7,5,1,6,2
0,4,48,33,13,38,0,7,17,11,16,2
0,4,138,33,27,38,1,7,17,1,18,2
0,13,5,33,32,38,2,7,12,11,8,3
0,13,130,34,32,38,0,7,18,11,16,3
0,13,99,33,32,38,1,7,21,1,12,1
0,13,27,45,27,38,2,31,12,1,12,1
0,13,7,26,22,38,2,31,0,1,47,3
0,13,142,39,7,38,2,7,33,5,11,1
0,13,116,39,32,38,2,31,22,1,47,1
0,13,34,21,32,38,1,31,4,1,49,1
1,16,129,14,7,38,2,7,5,4,34,3
1,16,132,26,36,13,1,4,3,4,47,3
1,16,29,14,7,38,2,35,3,4,32,3
1,16,92,14,32,13,1,17,3,4,3,3
1,16,79,34,19,39,2,5,3,4,24,3
1,16,141,1,16,38,1,15,9,4,48,3
1,16,10,43,38,33,2,9,31,4,5,3
1,16,17,26,37,21,2,19,3,4,37,3
1,16,51,34,7,39,2,7,5,4,14,3
